event_idx,ts_ns,best_bid,best_ask,bid_size,ask_size,mid,microprice,spread,imb1,imb5,imb10
42,1784621027618035100,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
43,1784621027618035100,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
44,1784621027618035100,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
45,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
46,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
47,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
48,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
49,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
50,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
51,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
52,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
53,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
54,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
55,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
56,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.374304983562,-0.436527754632
57,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.373956128086,-0.461888830784
58,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.373956128086,-0.506892278659
59,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.373956128086,-0.541475219957
60,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.373956128086,-0.588265861299
61,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.465807747523,-0.640767612366
62,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.697632070102
63,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.697632070102
64,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.710039934871
65,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.710039934871
66,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.710039934871
67,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.710039934871
68,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.710039934871
69,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.504906311755,-0.710039934871
70,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.569047262282,-0.754714030938
71,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.569047262282,-0.754714030938
72,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.633031473348,-0.792233232753
73,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.633031473348,-0.792233232753
74,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.633031473348,-0.792233232753
75,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.633031473348,-0.792233232753
76,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.633031473348,-0.792233232753
77,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
78,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
79,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
80,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
81,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
82,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
83,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
84,1784621027618812900,66186.48,66186.49,0.02460275,0.14532722,66186.485,66186.4814478,0.0100000000093,-0.710436599265,-0.762006576709,-0.566142555985
85,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
86,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
87,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
88,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
89,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
90,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
91,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
92,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
93,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
94,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
95,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
96,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
97,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
98,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
99,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
100,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
101,1784621027618812900,66186.4,66186.49,1.7e-05,0.14532722,66186.445,66186.4000105,0.0900000000111,-0.999766072569,-0.915297632555,-0.596334616015
