event_type,ts_ns,best_bid,best_ask,bid_size,ask_size,trade_price,trade_size,trade_side
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
quote,1784621729176114800,66240.38,66240.39,0.00534567,1.7922571,0,0,
trade,1784621729190196300,66240.38,66240.39,0.00534567,1.7922571,66240.38,7e-07,b
quote,1784621729236818700,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729236818700,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729236818700,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729286288200,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729286288200,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729286288200,66240.38,66240.39,0.00534497,1.7922571,0,0,
trade,1784621729321498800,66240.38,66240.39,0.00534497,1.7922571,66240.38,8e-08,b
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.00534497,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729345797100,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729406225200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729465630200,66240.38,66240.39,0.0388477,1.7922571,0,0,
quote,1784621729465630200,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729535965700,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729585732500,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729585732500,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729585732500,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729585732500,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729646861000,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729709877800,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729709877800,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729709877800,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729709877800,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729709877800,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729756513800,66240.38,66240.39,0.0388477,1.74598343,0,0,
quote,1784621729756513800,66240.38,66240.39,0.0388477,1.74598343,0,0,
