type,side,price,size,ts_ns
snapshot,a,65870.00,0.01070000,1784618834527258500
snapshot,a,65870.03,0.00009488,1784618834527258500
snapshot,a,65870.61,0.04555578,1784618834527258500
snapshot,a,65870.62,0.09103615,1784618834527258500
snapshot,a,65871.01,0.00758612,1784618834527258500
snapshot,a,65871.02,0.00759059,1784618834527258500
snapshot,a,65871.08,0.00797011,1784618834527258500
snapshot,a,65871.16,0.00163700,1784618834527258500
snapshot,a,65871.32,0.06831285,1784618834527258500
snapshot,a,65871.33,0.07428000,1784618834527258500
snapshot,a,65871.36,0.02914719,1784618834527258500
snapshot,a,65871.37,0.00009488,1784618834527258500
snapshot,a,65872.00,0.00153174,1784618834527258500
snapshot,a,65872.60,0.16989784,1784618834527258500
snapshot,a,65872.61,0.09103615,1784618834527258500
snapshot,a,65872.69,0.00759040,1784618834527258500
snapshot,a,65872.72,0.00796992,1784618834527258500
snapshot,a,65873.52,0.00075914,1784618834527258500
snapshot,a,65874.00,0.01070000,1784618834527258500
snapshot,a,65874.76,0.00001700,1784618834527258500
snapshot,a,65874.95,0.09103615,1784618834527258500
snapshot,a,65875.00,0.01000000,1784618834527258500
snapshot,a,65875.07,0.05153606,1784618834527258500
snapshot,a,65875.20,0.00153174,1784618834527258500
snapshot,a,65876.00,0.01070000,1784618834527258500
snapshot,a,65876.14,0.06000000,1784618834527258500
snapshot,a,65876.94,0.76637553,1784618834527258500
snapshot,a,65876.95,0.06831285,1784618834527258500
snapshot,a,65876.97,0.09103615,1784618834527258500
snapshot,a,65877.00,1.00000000,1784618834527258500
snapshot,a,65877.15,0.04555578,1784618834527258500
snapshot,a,65877.73,0.00011640,1784618834527258500
snapshot,a,65878.00,0.01070000,1784618834527258500
snapshot,a,65878.07,0.01699400,1784618834527258500
snapshot,a,65878.40,0.00153174,1784618834527258500
snapshot,a,65878.47,0.00001700,1784618834527258500
snapshot,a,65878.95,0.09103615,1784618834527258500
snapshot,a,65879.10,0.09102297,1784618834527258500
snapshot,a,65879.28,0.00034206,1784618834527258500
snapshot,a,65880.00,0.02070000,1784618834527258500
snapshot,a,65880.20,0.52953152,1784618834527258500
snapshot,a,65880.21,0.63770411,1784618834527258500
snapshot,a,65880.26,0.14000000,1784618834527258500
