event_idx,ts_ns,best_bid,best_ask,bid_size,ask_size,mid,microprice,spread,imb1,imb5,imb10
76,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
77,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
78,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
79,1784620061773945000,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
80,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
81,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
82,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
83,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
84,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.6730078691
85,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
86,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
87,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
88,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
89,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
90,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
91,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
92,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
93,1784620061774402800,66093.64,66093.65,0.09599332,1.7e-05,66093.645,66093.6499982,0.00999999999476,0.999645871402,0.975294302416,0.668935733482
