snap,ts_ns,side,rank,price,size
7,1784621735826241600,b,2,66220.8,0.00153174
7,1784621735826241600,b,3,66220.25,0.01510112
7,1784621735826241600,b,4,66220,0.01
7,1784621735826241600,b,5,66219.79,1.7e-05
7,1784621735826241600,b,6,66219,1
7,1784621735826241600,b,7,66217.6,0.00153174
7,1784621735826241600,b,8,66216.61,0.01510196
7,1784621735826241600,b,9,66216.08,1.637e-05
7,1784621735826241600,b,10,66215.69,0.04540639
7,1784621735826241600,b,11,66215,0.01
7,1784621735826241600,a,0,66221.59,0.32656206
7,1784621735826241600,a,1,66222.92,0.01510052
7,1784621735826241600,a,2,66223.19,0.20526075
7,1784621735826241600,a,3,66223.2,0.09070899
7,1784621735826241600,a,4,66223.22,0.12080354
7,1784621735826241600,a,5,66223.25,0.00528528
7,1784621735826241600,a,6,66223.71,0.001633
7,1784621735826241600,a,7,66224.69,0.00292273
7,1784621735826241600,a,8,66225.29,0.09070899
7,1784621735826241600,a,9,66225.43,0.01685122
7,1784621735826241600,a,10,66225.48,0.0066066
7,1784621735826241600,a,11,66226,0.0083
8,1784621737945771900,b,0,66221.58,0.08778198
8,1784621737945771900,b,1,66221.5,0.02604761
8,1784621737945771900,b,2,66221.31,0.01728991
8,1784621737945771900,b,3,66220.8,0.00153174
8,1784621737945771900,b,4,66220.25,0.01510112
8,1784621737945771900,b,5,66220,0.01
8,1784621737945771900,b,6,66219.79,1.7e-05
8,1784621737945771900,b,7,66219,1
8,1784621737945771900,b,8,66217.6,0.00153174
8,1784621737945771900,b,9,66216.61,0.01510196
8,1784621737945771900,b,10,66216.08,1.637e-05
8,1784621737945771900,b,11,66215.69,0.04540639
8,1784621737945771900,a,0,66221.59,0.32626733
8,1784621737945771900,a,1,66222.92,0.01510052
8,1784621737945771900,a,2,66223.18,0.09070899
8,1784621737945771900,a,3,66223.19,1.07739606
8,1784621737945771900,a,4,66223.22,0.12080354
8,1784621737945771900,a,5,66223.25,0.00528528
8,1784621737945771900,a,6,66223.71,0.001633
8,1784621737945771900,a,7,66224.73,0.00292273
8,1784621737945771900,a,8,66225.43,1.52167115
8,1784621737945771900,a,9,66225.48,0.0066066
8,1784621737945771900,a,10,66226,0.0083
8,1784621737945771900,a,11,66226.1,0.09070899
9,1784621739896955400,b,0,66224.54,0.24732014
9,1784621739896955400,b,1,66223.72,0.03460281
9,1784621739896955400,b,2,66223.71,0.03460281
9,1784621739896955400,b,3,66223.19,0.04868227
9,1784621739896955400,b,4,66223.18,0.03728227
9,1784621739896955400,b,5,66222.01,0.04540639
9,1784621739896955400,b,6,66222,1
9,1784621739896955400,b,7,66221.58,0.00188727
9,1784621739896955400,b,8,66221.5,0.02604761
9,1784621739896955400,b,9,66221.31,0.01728991
9,1784621739896955400,b,10,66220.8,0.00153174
9,1784621739896955400,b,11,66220,0.01
9,1784621739896955400,a,0,66223.15,0.00846314
9,1784621739896955400,a,1,66223.19,1.07739606
9,1784621739896955400,a,2,66224.57,0.00528523
9,1784621739896955400,a,3,66225.42,0.0227032
9,1784621739896955400,a,4,66225.43,1.50481993
9,1784621739896955400,a,5,66225.62,0.15099896
9,1784621739896955400,a,6,66226.8,0.00660654
9,1784621739896955400,a,7,66228,0.0083
9,1784621739896955400,a,8,66229.24,0.05415327
9,1784621739896955400,a,9,66229.25,0.09070899
9,1784621739896955400,a,10,66229.8,0.07762743
9,1784621739896955400,a,11,66230,0.0083
10,1784621741407509400,b,0,66233.31,0.17377
10,1784621741407509400,b,1,66232.28,0.08533522
10,1784621741407509400,b,2,66232.27,0.07355014
10,1784621741407509400,b,3,66231.43,0.08328508
10,1784621741407509400,b,4,66231.42,0.08328508
10,1784621741407509400,b,5,66228.29,0.04
10,1784621741407509400,b,6,66228.28,0.03460281
10,1784621741407509400,b,7,66223.5,1.7e-05
10,1784621741407509400,b,8,66222.04,0.12068938
10,1784621741407509400,b,9,66222.03,0.09070899
10,1784621741407509400,b,10,66222.01,0.04540639
10,1784621741407509400,b,11,66221.78,0.01997145
10,1784621741407509400,a,0,66224.55,0.27969205
10,1784621741407509400,a,1,66225.31,0.01510201
